,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
BPT.AX,-0.03831343595836959,4.498840637573538,5.032364112232771,-1.8363807644597596,16.56059483525609,5.221349602567065,0.27712063181279145,1.000173830946152,4.359481971859736,7.904200187392874,-0.6433803004193619,2.43737153632687,3.828039688705624,4.431812678427452,12.091433868212501,-8.1536580206943,1.9752272354065665,0.9654740085111129,6.798071112595835,-0.7458726741011774,0.0
BRG.AX,4.292573924420998,7.825769427436363,0.0,9.57530505597256,18.534195087513666,15.55915279402473,18.57290632086997,8.606467463967144,0.04329052277848988,-3.480306415483331,6.993020154298416,10.070884718554767,6.2455494905260105,6.7959174448446955,3.210579255521268,-1.9201806870091516,-4.491280103772729,-3.9875508566185323,1.1676650824315735,1.392487540807108,0.0
BWP.AX,0.0,0.0,0.0,0.0,8.598122304809488,11.761262487252163,15.635200982399839,4.766838957746797,12.597387774746979,14.524810849173264,7.6221935578569955,11.528730546019125,7.4326494660845235,8.21015260818874,-0.4669709446965564,5.315680282549604,7.049402936871533,3.048319661272436,7.7243769885335745,4.4554826856879375,0.0
BXB.AX,3.2341202287815025,4.640061918172275,4.368606417540414,11.525484450109658,17.744248327102635,9.204956371574527,10.270057712648857,5.168511659934411,4.135154903051453,8.323926622633326,4.403203926786423,1.550025489791549,3.7196052244407056,8.01428783365453,7.779635698920686,-4.612752445982568,2.6765452939875782,2.601199161179925,5.232290599630366,6.4563404015151304,0.0
CAR.AX,0.0,0.0,0.0,0.0,0.0,2.047112607211472,7.004382930985708,9.68579736670667,6.526820506637779,7.766745467058509,6.387427389038319,7.311709625363286,1.956675405993659,0.3529120757903432,1.4782327592385167,7.54517029172515,4.966007624445874,0.35151658996745905,1.8250945731780885,0.31796018169990287,0.0
CBA.AX,12.812070186089759,19.050692067097984,21.99213408513483,10.949367063263622,9.333023918459835,13.189679751254591,11.637037286473113,14.084773853244329,8.251939670294668,10.401283131573573,5.656073702705205,8.384610663272877,7.688341138202214,7.970644020712138,3.257408742856109,5.019640376371099,2.723390520573094,6.475344544714223,3.0645153316631912,2.316133593390465,0.0
CCP.AX,5.872337990322259,7.258046954741484,2.6647889833341134,0.2023700026226738,17.33376521508903,8.770210465749976,-4.22934621554513,5.142159895858963,2.910943371313578,3.9527606815349143,3.4914784129937146,7.91919229256954,2.310713864762402,1.4630861123798544,11.262379739482682,-1.4758812173467837,3.813347009947403,0.028511529784954304,1.853799139556253,2.1231555601470404,0.0
CDA.AX,8.256377366102994,15.506859759550785,0.8380058047828007,28.095489847531454,21.107872998750025,12.44300858869653,5.768417332874446,13.43869782351538,6.586838739883213,7.940852766784739,21.352485850826824,11.980655818341546,3.1723998620564755,4.933958226796724,1.2369110957495615,-4.1930081364531135,0.11306524590872158,1.5063658056675457,7.200278992121779,0.052426032208794715,0.0
CGF.AX,2.150520607348024,4.703154913298629,6.3644298624921305,9.91737725158772,8.150980091026959,6.663221443375454,6.1587132590678095,3.493744364330499,10.49401472169637,4.023183408178189,4.559739413069519,6.854573367972444,3.246896918873292,3.2228254214064602,6.105355823562648,-1.8609717628258773,3.585798759045872,3.05958246638035,4.965278493311795,1.2651751993775144,0.0
CHC.AX,16.499886598383714,6.737076193456952,7.099039343881912,66.655221430712,22.37639154402324,10.578856567520734,18.555446946252136,10.219838589491602,13.870955497748946,11.439448062606333,9.189995825977494,12.775490234506687,6.395109984970469,9.25193130073713,1.5966741892356704,7.833888474939579,7.383380772723058,3.30532762790014,6.46780553521071,-3.919079388247424,0.0
CMW.AX,22.88916715623728,22.013236931776564,44.33981436926449,73.75880663030111,45.99609923877115,37.89847410796676,37.16503745245571,36.1129704089474,23.01901397605652,20.83248354815843,16.450697274422698,20.77980886495742,19.17563459048051,14.995011237812228,6.5385002792986775,5.741790804137731,10.13785839881544,8.692730227416323,11.951340629720049,9.38713426716133,0.0
CNU.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.42538656787701,12.343415373245652,0.0,0.0,4.42071055991663,7.297157512409752,2.3485287091035523,6.243179938551398,11.068942278415706,5.714738569854594,7.181388282034609,2.2769031028759117,4.497147670026413,0.0
COH.AX,2.0699368130286517,0.9453984715486135,2.53961710507776,11.111446540321035,0.8667320748854364,10.409777074778566,7.044763309081501,3.9982688766671064,6.6513805503303916,7.525806903379267,3.8971089090880757,3.537095675458494,2.0394873548185464,0.27804624246789633,2.3812621740034334,0.0,0.7594797909886213,-3.372088515269337,2.7131765934898846,0.4790804778945158,0.0
CPU.AX,0.45226663950588686,4.281412431485915,-0.8748527177906338,8.291144597293322,-0.2699679545962701,9.093062783796054,10.0567374360064,6.045855009857354,5.748707861646028,5.4331876537645645,9.876423631147336,4.7751151172971715,1.9627235131754204,4.815165402044286,5.789160760390903,2.7389161849539416,1.9647130052720962,7.5285511984325275,5.83735336974209,3.060472811520966,0.0
